"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_2105",0.000193466914249851,0.00112974485889654,0,0
"OTU_6167",0.000304402092145554,0.00142525031021623,0.000306301442933702,0.00146094206296879
"OTU_7265",6.8808881102993e-05,0.000442162595457679,0,0
"OTU_5896",0,0,0,0
"OTU_7324",3.40956420452564e-05,0.00022540270136441,7.14115091786998e-05,0.000457256765253791
"OTU_8377",0.000121742920344825,0.00109568628310342,0,0
"OTU_1718",0.00161173094441814,0.00494503608727411,0.00537323226602406,0.015260131236168
"OTU_3508",0.000177346601440313,0.000905566658252861,0,0
"OTU_2188",0.00418467540699876,0.011935804788929,0.0068933703072864,0.0183032590514519
"OTU_3419",0.000100267373662562,0.000612167915355415,0.00121052362784495,0.00520304853702135
"OTU_503",0.000407664584565348,0.00150307654854237,0,0
"OTU_8162",0.000188784174186065,0.00133711142853496,0,0
"OTU_5557",0.000148329611091596,0.00088857268573549,0.000214358564436342,0.00110126122753535
"OTU_6362",0.000471665492684417,0.00216675387522968,3.02721160511841e-05,0.000193836120005717
"OTU_1283",0.000585830875292734,0.00209324585520179,0.000217309515134457,0.0011194186231802
"OTU_5243",0.000306781733658302,0.00232878915584617,0,0
"OTU_203",0.0296202415571207,0.132322744526988,0.0162618126377665,0.0416882362497728
"OTU_1368",0,0,0.000482354626283688,0.00169523425620578
"OTU_463",0.00757112678882004,0.0216507801792166,0.00362976545426552,0.0125660771905311
"OTU_437",0.00060404818274828,0.00230679775117578,0.000138431253403194,0.000525026566868556
"OTU_2039",0.00139087803054159,0.00529736840194749,0.00724345909703645,0.0225679905063473
"OTU_2967",7.25331081905655e-05,0.00065279797371509,0.000309760738238141,0.00157168565567125
"OTU_7525",0.000352430939596441,0.0020414395434762,0,0
"OTU_7094",2.70539822988499e-05,0.000243485840689649,0.000129379774922318,0.000828434772638703
"OTU_464",0.00146083594946335,0.00535686484043448,0,0
"OTU_8434",0.000291728635697678,0.00166275108251474,0,0
"OTU_3596",0,0,0.000675047044822727,0.00432241009411182
"OTU_772",0.000603246605034477,0.002608184869939,0.00170111386748093,0.00654502968385783
"OTU_3573",0.00119797854735994,0.00500669761723719,0.00058713257120785,0.00259348712554005
"OTU_2211",0.000432060062109686,0.00272007914496351,0.00173551934513579,0.00507900150737266
"OTU_2748",0.000270057508746488,0.00243051757871839,0.000417348161435277,0.00267233212793426
"OTU_4246",0.00336898121882295,0.0143737676838393,0.00702396282856659,0.0319835917320909
"OTU_6009",0.00011219260147913,0.000865966456092891,3.57057545893499e-05,0.000228628382626896
"OTU_340",0.000640906103555098,0.00210959311382832,0,0
"OTU_6453",6.07921952548044e-05,0.00054712975729324,0,0
"OTU_6377",0,0,0.000207410615358258,0.00132807593830133
"OTU_5422",0.000115138831936288,0.00103624948742659,0,0
"OTU_4740",0.000122828543554306,0.000834715100708659,4.80000076800012e-05,0.000307350012572779
"OTU_5854",9.61711894076576e-05,0.000470815458756645,0.000144000023040004,0.000922050037718336
"OTU_7860",6.07921952548044e-05,0.00054712975729324,0,0
"OTU_5758",0.000151077883818235,0.00100641481355738,0.00020492559151772,0.00131216402191738
"OTU_5494",0.000247098797214357,0.00111653309815288,0.000462755625163262,0.00150268644995823
"OTU_644",0.000412738264356904,0.00246708785536499,0.000176542477112025,0.000940206999588651
"OTU_7057",0.000148134071915915,0.00103627946652208,0,0
"OTU_2342",0.00020031716472902,0.00140430010125308,0.00015369419363829,0.000984123016438032
"OTU_2344",0.00181997209980921,0.00659530926142893,0.000397116850856511,0.00106815919106131
"OTU_3308",0.000167295338649979,0.00150565804784981,0,0
"OTU_1721",0.000523884197418805,0.002265950829281,0,0
"OTU_5410",9.86806475069734e-05,0.000673731225654812,0,0
"OTU_8044",0.000642629796205431,0.00253029528894358,0,0
"OTU_5883",0.000589873410883569,0.00191995117270818,0,0
"OTU_2602",0.000599461130271517,0.00210918123676134,0.00462037278244993,0.0294919636642484
"OTU_4526",0.000290555919197147,0.00104450069370399,0,0
"OTU_8579",0.000235422337697862,0.00162381770405473,0,0
"OTU_3595",0.000317947771188094,0.00229534217549865,0,0
"OTU_3809",0,0,0,0
"OTU_6926",7.02045264842557e-05,0.000444004530134322,3.96731251869596e-05,0.000254031949459329
"OTU_8028",5.95995008899397e-05,0.000536395508009458,0,0
"OTU_4469",0,0,0,0
"OTU_2731",0,0,0.000119785654165687,0.000545842888082302
"OTU_8141",0.000112523532046691,0.000863040679569589,7.52592338431281e-05,0.0003401659648562
"OTU_6135",0.000109313589839544,0.000732616895578683,0,0
"OTU_6640",0.000141403754665617,0.00127263379199055,0,0
"OTU_6572",0.000119447341042465,0.00107502606938218,0,0
"OTU_8453",9.95394508687206e-05,0.000895855057818486,0,0
"OTU_5080",0.000145480580122843,0.00114205451573309,0,0
"OTU_7168",0.000132079591042834,0.000805452664119082,0,0
"OTU_7289",7.31874775820133e-05,0.000378305448931647,0,0
"OTU_7481",0.00026009434892981,0.0016505943486181,0,0
"OTU_3870",0.000198701963130251,0.00101704901010735,0,0
"OTU_4403",0.000159263121389953,0.00143336809250958,0,0
"OTU_4062",0,0,0,0
"OTU_4101",0,0,0.000280344061890644,0.00164364137380311
"OTU_7999",0,0,0.000499075670269023,0.00319564352061262
"OTU_2581",0.000429116406407566,0.0038620476576681,0,0
"OTU_3598",0.000190718402847807,0.00171646562563026,0.000308264137667681,0.00197385357143127
"OTU_3298",2.87188959996875e-05,0.000258470063997188,0.000959900771301137,0.0061463638942488
"OTU_8775",0.000237660658605217,0.00213894592744695,7.14779278619271e-05,0.000324252429041255
"OTU_8022",6.14541558910645e-05,0.000553087403019581,0,0
"OTU_5573",7.48828084048464e-05,0.000673945275643618,0.00010246279575886,0.000656082010958688
"OTU_5968",4.73804195204486e-05,0.000426423775684037,0,0
"OTU_3979",0.000101696566684062,0.000748635002531402,0.000385330172084602,0.00246731696428908
"OTU_2294",0.00134944974894353,0.00405637071041524,0.000108544239782369,0.000488667824305927
"OTU_3139",0.000631013634354315,0.00384432960076656,0,0
