OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata	27.03902571	1.99E-07	2.15E-06	0.00022531	0.000191057	8.33E-06	0.000182724
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	22.87862061	1.73E-06	1.41E-05	0.001949934	0.000186992	1.32E-05	0.000173757
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__	25.10399894	5.43E-07	5.15E-06	0.000613817	0.000184553	1.72E-05	0.000167396
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;Other	29.9721115	4.38E-08	6.43E-07	4.95E-05	0.00017561	2.01E-05	0.000155512
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__1-68	23.53873991	1.22E-06	1.03E-05	0.001383389	0.000174797	0.000104902	6.98948E-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	27.52037462	1.55E-07	1.77E-06	0.000175657	0.000174797	4.90E-07	0.000174307
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter	27.78540646	1.36E-07	1.58E-06	0.000153166	0.000169919	1.47E-05	0.000155213
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera	32.49469	1.20E-08	2.18E-07	1.35E-05	0.000168293	1.32E-05	0.000155057
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__	32.87480638	9.83E-09	1.82E-07	1.11E-05	0.000166667	8.33E-06	0.000158333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter	22.33867572	2.29E-06	1.82E-05	0.002582692	0.000165854	1.47E-05	0.000151148
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	33.64241216	6.62E-09	1.40E-07	7.48E-06	0.000165041	2.45E-06	0.00016259
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__;g__	30.20978995	3.88E-08	5.84E-07	4.38E-05	0.000164228	1.13E-05	0.000152953
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus	25.90161283	3.59E-07	3.59E-06	0.000405974	0.000155285	7.35E-06	0.000147932
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	28.37869904	9.98E-08	1.24E-06	0.000112725	0.000155285	0	0.000155285
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	26.68394632	2.40E-07	2.53E-06	0.000270753	0.000143902	1.52E-05	0.000128706
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__	28.38641185	9.94E-08	1.24E-06	0.000112277	0.000139837	3.92E-06	0.000135916
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister	27.95008835	1.24E-07	1.50E-06	0.000140668	0.000135772	7.84E-06	0.000127929
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	28.38053243	9.97E-08	1.24E-06	0.000112619	0.000135772	0	0.000135772
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter	33.95271469	5.65E-09	1.23E-07	6.38E-06	0.000134146	1.47E-06	0.000132676
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia	27.00402103	2.03E-07	2.16E-06	0.000229427	0.00013252	9.31E-06	0.000123207
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Cellvibrio	35.54299527	2.49E-09	6.56E-08	2.82E-06	0.000117886	2.45E-06	0.000115435
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Xylanimicrobium	32.08122708	1.48E-08	2.53E-07	1.67E-05	0.000115447	7.35E-06	0.000108094
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__	27.15039248	1.88E-07	2.07E-06	0.000212696	0.000113821	6.86E-06	0.000106958
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	21.73768203	3.13E-06	2.34E-05	0.003532273	9.51E-05	3.92E-06	9.12004E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus	21.78587399	3.05E-06	2.30E-05	0.00344465	9.11E-05	3.43E-06	8.76255E-05
