OTU	Test-Statistic	P	FDR_P	Bonferroni_P	control_mean	diabetes_mean	taxonomy
OTU_889	11.0867183326	0.000869482164864	0.00327680289178	0.92078161259	0.827160493827	0.0975609756098	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
OTU_780	11.0758598034	0.000874588569455	0.00328435920231	0.926189295052	2.07407407407	0.756097560976	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
OTU_275	10.9815745911	0.000920222107166	0.00344351664837	0.974515211489	0.777777777778	0.0975609756098	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
OTU_6605	10.9627229663	0.000929631099515	0.00346647652953	0.984479334386	3.27160493827	0.414634146341	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
OTU_6	10.9341037014	0.000944101470797	0.00350808230728	0.999803457574	204.086419753	127.365853659	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
OTU_642	10.9069848404	0.000958023332997	0.00354736611764	1.0	3.55555555556	2.31707317073	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
OTU_2156	10.8604788627	0.000982382891664	0.00362489018213	1.0	1.16049382716	0.170731707317	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_8204	10.7834645522	0.00102410819284	0.00376573116743	1.0	2.98765432099	0.487804878049	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_11	10.7643383806	0.00103474547406	0.0037908101779	1.0	6.85185185185	1.21951219512	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
OTU_3460	10.7573948244	0.00103863481635	0.0037908101779	1.0	7.92592592593	0.536585365854	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
OTU_2620	10.7508201471	0.00104233116384	0.0037908101779	1.0	0.592592592593	0.170731707317	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_3021	10.7456503801	0.00104524699901	0.0037908101779	1.0	2.28395061728	0.414634146341	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
OTU_208	10.715711023	0.00106229628154	0.00383949406876	1.0	0.975308641975	0.0487804878049	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_1230	10.7042654506	0.00106888816333	0.0038501787924	1.0	2.35802469136	0.536585365854	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_974	10.6780010788	0.00108417152557	0.00388735175874	1.0	1.82716049383	0.268292682927	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
OTU_859	10.6739479192	0.00108654968894	0.00388735175874	1.0	1.51851851852	0.0731707317073	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_6035	10.6511367652	0.00110003273892	0.00392233895798	1.0	1.01234567901	0.219512195122	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_591	10.6351824258	0.00110956338328	0.0039430457144	1.0	1.04938271605	0.146341463415	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
OTU_1621	10.5882006314	0.00113811692293	0.00403098936917	1.0	2.12345679012	0.80487804878	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
OTU_2010	10.5764864151	0.00114535138814	0.00404309040014	1.0	2.43209876543	0.19512195122	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
OTU_746	10.5537948613	0.00115949786697	0.00407404767435	1.0	2.32098765432	0.560975609756	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__
OTU_1160	10.5501043269	0.00116181529524	0.00407404767435	1.0	1.08641975309	0.951219512195	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_90	10.5232159961	0.00117884157314	0.00412010965663	1.0	445.728395062	837.463414634	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_890	10.5045422477	0.00119081455043	0.00414826516086	1.0	7.62962962963	2.92682926829	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae
OTU_289	10.4905370052	0.00119987492704	0.00416612310734	1.0	1.27160493827	0.219512195122	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
